drug,trial,condition,sponsor,sponsor_class
Semaglutide 2.4 MG/0.75 ML Subcutaneous Solution [WEGOVY],NCT06287307,"Obesity, Morbid",Zuyderland Medisch Centrum,OTHER
Semaglutide 2.4 MG/0.75 ML Subcutaneous Solution [WEGOVY],NCT06287307,Weight Gain,Zuyderland Medisch Centrum,OTHER
"Semaglutide, 1.34 mg/mL",NCT05702905,PCOS (Polycystic Ovary Syndrome),Peking University First Hospital,OTHER
"Semaglutide, 1.34 mg/mL",NCT05702905,Semaglutide,Peking University First Hospital,OTHER
"Semaglutide, 1.34 mg/mL and Metformin Hydrochloride 500 MG",NCT05702905,PCOS (Polycystic Ovary Syndrome),Peking University First Hospital,OTHER
"Semaglutide, 1.34 mg/mL and Metformin Hydrochloride 500 MG",NCT05702905,Semaglutide,Peking University First Hospital,OTHER
Semaglutide,NCT05616052,"Weight Change, Body",Huashan Hospital,OTHER
Semaglutide Pen Injector,NCT06619015,Obesity,Esbjerg Hospital - University Hospital of Southern Denmark,OTHER
Semaglutide Pen Injector,NCT06619015,PreDiabetes,Esbjerg Hospital - University Hospital of Southern Denmark,OTHER
Semaglutide Pen Injector,NCT06619015,Appetite Regulation,Esbjerg Hospital - University Hospital of Southern Denmark,OTHER
Semaglutide,NCT03884075,Non-Alcoholic Fatty Liver Disease,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
Semaglutide,NCT03884075,Non-Alcoholic Steatohepatitis,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH
Semaglutide,NCT06243536,Type 2 Diabetes,University Hospital Sestre Milosrdnice,OTHER
Semaglutide,NCT06243536,Overweight,University Hospital Sestre Milosrdnice,OTHER
Semaglutide,NCT06243536,Disordered Eating Behaviors,University Hospital Sestre Milosrdnice,OTHER
Semaglutide Injectable Product,NCT04019197,Obesity,Case Western Reserve University,OTHER
Semaglutide Injectable Product,NCT04019197,HIV/AIDS,Case Western Reserve University,OTHER
Semaglutide Injectable Product,NCT04019197,Lipohypertrophy,Case Western Reserve University,OTHER
Semaglutide Injectable Product,NCT04174755,Obesity,University College Dublin,OTHER
