drug,trial,condition,sponsor,sponsor_class
Semaglutide Injectable Product,NCT06423599,Weight Loss,"Jens D Hove, MD,PHD",OTHER
Semaglutide Injectable Product,NCT06423599,Chronic Heart Failure,"Jens D Hove, MD,PHD",OTHER
Semaglutide Injectable Product,NCT06423599,Heart Failure With Reduced Ejection Fraction,"Jens D Hove, MD,PHD",OTHER
Semaglutide in combination with a healthy lifestyle intervention (diet and exercise),NCT06754163,Obesity and Obesity-related Medical Conditions,St Andrew's Healthcare,OTHER
Semaglutide in combination with a healthy lifestyle intervention (diet and exercise),NCT06754163,Psychiatric Disorders,St Andrew's Healthcare,OTHER
Semaglutide,NCT05537233,Obesity,Viral N. Shah,OTHER
Semaglutide,NCT05537233,Type 1 Diabetes,Viral N. Shah,OTHER
"Semaglutide, 1.34 mg/mL",NCT05193578,Schizophrenia,Jan Frystyk,OTHER
"Semaglutide, 1.34 mg/mL",NCT05193578,Prediabetic State,Jan Frystyk,OTHER
"Semaglutide, 1.34 mg/mL",NCT04854083,Type2 Diabetes,Kirsi Pietiläinen,OTHER
