drug,n_conditions,n_trials,sample_conditions
Etoposide,984,628,"['COVID-19', 'HIV', 'Lymphoma', 'Myeloma', 'Bladder Cancer', 'Cancer', 'Advanced Solid Tumor', 'Recurrent B-Cell Non-Hodgkin Lymphoma']"
Usual Care,984,869,"['Type 2 Diabetes', 'Obesity', 'Asthma', 'Schizophrenia', 'Schizoaffective Disorder', 'Sepsis', 'HIV/AIDS', 'Cataract Surgery']"
Gemcitabine,969,1235,"['Pancreatic Neoplasms', 'Platinum-resistant Ovarian Cancer', 'Lymphoma', 'Myeloma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor']"
Prednisone,962,832,"['Anesthesia', 'Asthma', 'Chronic Graft Versus Host Disease', 'Chronic Obstructive Pulmonary Disease', 'COVID-19', 'HIV', 'Lymphoma', 'Myeloma']"
Questionnaire,944,758,"['Type 2 Diabetes', 'Obesity', 'Postoperative Pain', 'Asthma', 'Schizophrenia', 'Coronary Artery Calcification', 'Acne', 'Smoking']"
Durvalumab,920,539,"['Pancreatic Neoplasms', 'HIV', 'Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Gastric Cancer']"
Oxaliplatin,890,828,"['Pancreatic Neoplasms', 'Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Gastric Cancer', 'Cancer of Colon']"
Dexmedetomidine,882,901,"['Obesity', 'Anesthesia', 'Postoperative Pain', 'Sepsis', 'Chronic Obstructive Pulmonary Disease', 'Pregnancy Related', 'Alzheimer Disease', 'Cancer']"
Capecitabine,881,917,"['Pancreatic Neoplasms', 'Lymphoma', 'Solid Carcinoma', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Gastric Cancer', 'Stage II Pancreatic Cancer AJCC v8']"
Biopsy,879,324,"['Type 2 Diabetes', 'Obesity', 'Asthma', 'Chronic Graft Versus Host Disease', 'Lymphoma', 'Liver Cancer', 'Cancer', 'Recurrent B-Cell Non-Hodgkin Lymphoma']"
pharmacological study,855,536,"['Pancreatic Neoplasms', 'Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Gastric Cancer', 'Neuroblastoma', 'Pain']"
Atezolizumab,834,553,"['Lymphoma', 'Bladder Cancer', 'Liver Cancer', 'Cancer', 'Advanced Solid Tumor', 'Recurrent B-Cell Non-Hodgkin Lymphoma', 'Refractory B-Cell Non-Hodgkin Lymphoma', 'Gastric Cancer']"
