drug,trials
Placebo,565
Donepezil,52
placebo,44
Memantine,24
Flortaucipir F18,15
florbetapir F 18,15
donepezil,14
MRI,13
Gantenerumab,12
Dimebon,10
BMS-708163,10
Rivastigmine,9
Galantamine,9
Aricept,9
Donanemab,9
Lecanemab,9
Control,9
SAM-531,8
KarXT,8
Cognitive Training,8
galantamine hydrobromide,8
AZD3480,7
No intervention,7
Solanezumab,7
ABT-126,7
Sham tDCS,7
Placebo Comparator,7
Usual Care,7
Donepezil Hydrochloride,7
Exercise,6
