trial,enrollment,phase
NCT03926702,18.0,EARLY_PHASE1
NCT05806177,20.0,PHASE1
NCT02323334,94.0,PHASE1
NCT00733863,27.0,PHASE2
NCT04040348,6.0,PHASE1
NCT06427668,24.0,PHASE2
NCT03656159,46.0,
NCT06373094,64.0,PHASE1
NCT05108922,148.0,PHASE3
NCT00548145,38.0,
NCT02253732,30.0,
NCT04556097,524.0,
NCT00261573,593.0,PHASE3
NCT04805983,36.0,PHASE1
NCT03538522,126.0,PHASE2
NCT05803122,252.0,
NCT01880151,87.0,
NCT00249145,349.0,PHASE3
NCT03724136,100.0,
NCT05579236,400.0,
NCT02062099,25.0,PHASE1
NCT04686838,30.0,
NCT06435078,40.0,
NCT04696315,800.0,
NCT05557617,120.0,
NCT06669182,100.0,
NCT03698695,152.0,PHASE1
NCT05521477,3.0,
NCT05172687,336460.0,
NCT07016893,37.0,
NCT01796314,170.0,
NCT05691842,66.0,
NCT06511570,28.0,PHASE1
NCT03408041,129.0,
NCT06703541,500.0,
NCT04157712,48.0,PHASE1
NCT04542109,30.0,
NCT03472482,85.0,
NCT04489303,156.0,PHASE2
NCT03008161,83.0,PHASE1
NCT06666075,72.0,
NCT06826157,175.0,
NCT00479219,17.0,PHASE1
NCT04975464,600.0,
NCT04784416,125.0,PHASE2
NCT03822208,54.0,PHASE1
NCT05107882,466.0,
NCT06804837,515.0,
NCT03650816,58.0,
NCT06621758,120.0,
NCT05538455,558.0,
NCT04063124,5.0,PHASE1;PHASE2
NCT05527405,50.0,
NCT05779839,355.0,
NCT05501119,58.0,
NCT06994767,150.0,
NCT05599100,16.0,
NCT03723707,355.0,
NCT06534658,1000.0,
NCT03670615,60.0,
NCT05508841,42.0,
NCT03090854,100.0,
NCT04042922,80.0,
NCT00982202,25.0,PHASE2
NCT05525377,31.0,
NCT03058965,12.0,EARLY_PHASE1
NCT07011732,352.0,PHASE3
NCT03644043,2000.0,
NCT03955380,24.0,PHASE1
NCT02406027,90.0,PHASE2
NCT05007353,1200.0,
NCT04823819,40.0,
NCT06585384,5.0,PHASE1
NCT02129452,40.0,
NCT06597058,103.0,PHASE2
NCT05697380,8.0,
NCT03814603,210.0,
NCT06029894,100.0,
NCT03448601,523.0,
NCT06328374,0.0,
NCT04389437,450.0,
NCT04865172,120.0,
NCT02915939,240.0,
NCT05256121,100.0,
NCT02377206,24.0,EARLY_PHASE1
NCT05711888,80.0,
NCT06631742,48.0,
NCT02414347,900.0,
NCT02149017,30.0,PHASE1;PHASE2
NCT04522739,30.0,PHASE4
NCT01417130,1650.0,
NCT05068830,60.0,PHASE2
NCT06880406,170.0,
NCT00083590,150.0,PHASE2
NCT05395559,757.0,
NCT05372159,1000.0,
NCT02841605,55.0,
NCT00908492,38.0,PHASE2;PHASE3
NCT03308032,120.0,
NCT06079216,196.0,
NCT02388152,50.0,PHASE1
NCT05765552,34.0,
NCT04384978,22.0,
NCT06596746,600.0,
NCT01707719,48.0,
NCT04570644,56.0,PHASE1
NCT04118764,6.0,
NCT03896698,10.0,
NCT02795052,500.0,
NCT05710549,120.0,
NCT03393546,8.0,
NCT06125951,220.0,PHASE2
NCT05125536,30.0,
NCT06095063,30.0,
NCT05909189,120.0,
NCT03299062,9.0,
NCT07158905,48.0,PHASE1
NCT05477056,366.0,
NCT00216502,254.0,PHASE3
NCT05307692,88.0,PHASE2
NCT02050464,126.0,
NCT06052163,40.0,PHASE2
NCT05788848,36.0,PHASE1
NCT02707978,0.0,PHASE2
NCT03954613,198.0,PHASE4
NCT05477862,30.0,
NCT05026866,2996.0,PHASE3
NCT01273272,50.0,PHASE2
NCT06397339,28.0,
NCT06170528,9.0,
NCT02839187,59.0,
NCT03197740,399.0,PHASE3
NCT03151382,30.0,PHASE4
NCT06677203,123.0,PHASE2
NCT04748666,94.0,
NCT07047963,40.0,
NCT05094817,78.0,
NCT04937959,40.0,
NCT05418296,38.0,
NCT05033262,14.0,
NCT05640141,160.0,
NCT04663854,20.0,PHASE1
NCT03537729,172.0,
NCT03323502,47396.0,
NCT02208193,60.0,
NCT03933696,23.0,
NCT06470061,200.0,PHASE2
NCT06831812,16.0,PHASE1
NCT03654911,150.0,
NCT05114499,150.0,
NCT05427448,342.0,
NCT06869135,242.0,
NCT06809725,600.0,
NCT00192998,100.0,
NCT02494531,45.0,
NCT05628636,18.0,PHASE1
NCT04133454,5.0,PHASE1
NCT07118137,30.0,
NCT00739037,10.0,PHASE1
NCT00831506,12.0,PHASE1
NCT03447613,86.0,
NCT05366023,280.0,
NCT02361242,45.0,PHASE2
NCT06885567,90.0,PHASE2
NCT04452864,162.0,
NCT05891938,54.0,
NCT03101085,40.0,PHASE1;PHASE2
NCT04118985,21.0,
NCT03991624,180.0,
NCT05402423,0.0,
NCT06836180,40.0,EARLY_PHASE1
NCT06947941,1046.0,PHASE3
NCT02918539,317.0,
NCT06962111,70.0,
NCT06528964,40.0,
NCT05999084,735.0,
NCT05880849,14.0,PHASE1
NCT00479349,32.0,PHASE1
NCT04956874,39.0,
NCT04388982,9.0,PHASE1;PHASE2
NCT02178124,24.0,PHASE1
NCT00065169,138.0,
NCT03777722,61.0,
NCT06203106,10000.0,
NCT00103649,1306.0,PHASE3
NCT02351882,38.0,PHASE2;PHASE3
NCT04628702,24.0,
NCT03424200,54.0,
NCT06375213,990.0,
NCT06497413,100.0,
NCT04265482,300.0,
NCT05159596,8.0,
NCT06068361,130.0,
NCT03472183,0.0,
NCT04333329,15.0,
NCT06631144,270.0,
NCT03062449,29.0,PHASE2
NCT04700540,162.0,
NCT06657768,68.0,PHASE1
NCT04440891,0.0,
NCT02958670,141.0,
NCT05795634,240.0,
