trial,enrollment,phase
NCT05651919,100.0,
NCT02049034,8.0,PHASE4
NCT01793909,55.0,
NCT01046721,8.0,
NCT05623189,218.0,PHASE2
NCT06701968,150.0,
NCT01394510,13.0,
NCT00418288,10.0,
NCT05761886,87.0,
NCT01089569,60.0,
NCT01633177,25875.0,
NCT01718457,45.0,PHASE4
NCT01434407,19.0,
NCT05496907,16.0,
NCT02956811,66.0,PHASE4
NCT01196104,39.0,PHASE3
NCT05423938,29.0,
NCT01839448,500.0,
NCT06912555,120.0,
NCT06590415,84.0,
NCT02683135,16.0,
NCT03047668,200.0,
NCT04219124,9.0,PHASE4
NCT00810823,25.0,
NCT04416503,48.0,
NCT01817569,2948.0,
NCT00506194,60.0,
NCT01942694,2423.0,
NCT02291666,73.0,PHASE4
NCT06902077,40.0,EARLY_PHASE1
NCT04979130,69.0,PHASE4
NCT05710900,100.0,
NCT04538352,60.0,PHASE4
NCT05035849,60.0,
NCT01621178,577.0,PHASE3
NCT02406443,36.0,PHASE4
NCT00729040,324.0,PHASE1;PHASE2
NCT06548997,57.0,PHASE1
NCT05324488,2000.0,
NCT04698122,75.0,
NCT01822548,64.0,PHASE3
NCT02443922,100.0,
NCT04889053,1400.0,
NCT00147745,36.0,PHASE2
NCT04234581,59.0,
NCT05011292,388.0,
NCT07113444,24.0,
NCT05943626,20.0,
NCT04971317,326.0,
NCT00400491,40.0,PHASE2
NCT04861324,45.0,
NCT05182359,150.0,
NCT01041144,115.0,
NCT02235298,100.0,PHASE4
NCT02501616,22.0,PHASE4
NCT04347291,638.0,
NCT01085682,59.0,PHASE4
NCT00942188,106.0,PHASE2
NCT04003194,13.0,
NCT04284722,400.0,PHASE4
NCT00422253,27.0,
NCT07027995,200.0,
NCT00504712,24.0,PHASE4
NCT04146155,200.0,PHASE4
NCT00747968,8.0,PHASE2;PHASE3
NCT00979459,12.0,PHASE1
NCT00886366,26.0,PHASE1
NCT05870202,64.0,
NCT01182701,207.0,
NCT05715307,2017.0,
NCT01500798,18.0,PHASE1
NCT00779363,14.0,
NCT05478525,51.0,PHASE2
NCT02598791,18.0,
NCT06384313,48.0,
NCT01195662,2245.0,PHASE3
NCT01455883,0.0,PHASE3
