competitor,trials
Placebo,9492
placebo,1074
Metformin,700
Control,462
Exercise,425
No intervention,301
Usual Care,274
Zidovudine,261
Sitagliptin,199
Usual care,180
Dapagliflozin,179
Midazolam,172
Saline,157
Clopidogrel,157
Pioglitazone,156
Aspirin,155
Standard of Care,147
Insulin,147
Liraglutide,145
metformin,144
Ritonavir,141
Rosuvastatin,140
Atorvastatin,139
Itraconazole,138
Lamivudine,136
Propofol,130
insulin aspart,129
liraglutide,127
Prednisone,126
insulin detemir,122
