drug,trial,condition,sponsor,sponsor_class
"Donepezil, 5 mg daily",NCT00467389,Cocaine Abuse and Dependence,US Department of Veterans Affairs,FED
Donepezil,NCT01923259,Healthy,Dr. Reddy's Laboratories Limited,INDUSTRY
Donepezil Hydrochloride,NCT01504503,Healthy,Dr. Reddy's Laboratories Limited,INDUSTRY
Donepezil,NCT01923558,Healthy,Dr. Reddy's Laboratories Limited,INDUSTRY
Donepezil Hydrochloride,NCT01504516,Healthy,Dr. Reddy's Laboratories Limited,INDUSTRY
Donepezil group,NCT07153991,Tinnitus,University of Sao Paulo,OTHER
Donepezil,NCT01633593,Elderly,University of Sao Paulo,OTHER
Donepezil,NCT01633593,Intensive Care (ICU) Myopathy,University of Sao Paulo,OTHER
Donepezil,NCT01633593,Delirium of Unknown (Axis III) Etiology,University of Sao Paulo,OTHER
Memantine Tab. 10mg + Donepezil Tab. 10mg,NCT03569579,Central Nervous System Diseases,Chong Kun Dang Pharmaceutical,INDUSTRY
Donepezil,NCT06041789,Osteoporosis,Duke University,OTHER
Donepezil,NCT05538507,Alzheimer Disease,Peking Union Medical College Hospital,OTHER
Donepezil,NCT05538507,Mild Cognitive Impairment,Peking Union Medical College Hospital,OTHER
donepezil,NCT00586196,Delirium,Beth Israel Deaconess Medical Center,OTHER
Donepezil,NCT06518941,Anorexia Nervosa,New York State Psychiatric Institute,OTHER
Donepezil,NCT01951118,Alzheimer Disease,New York State Psychiatric Institute,OTHER
Donepezil,NCT01951118,Mild Cognitive Impairment,New York State Psychiatric Institute,OTHER
Donepezil,NCT01951118,"Delirium, Dementia, Amnestic, Cognitive Disorders",New York State Psychiatric Institute,OTHER
Donepezil,NCT01845636,Mild Cognitive Impairment,New York State Psychiatric Institute,OTHER
Donepezil,NCT01658228,Depression,New York State Psychiatric Institute,OTHER
Donepezil,NCT01658228,Mild Cognitive Impairment,New York State Psychiatric Institute,OTHER
Donepezil (Aricept®),NCT00768261,Dementia,Washington University School of Medicine,OTHER
Donepezil,NCT00030979,Parkinson Disease,National Institute of Neurological Disorders and Stroke (NINDS),NIH
DONEPEZIL HYDROCHLORIDE,NCT00165659,Alzheimer Disease,Eisai Limited,INDUSTRY
Donepezil hydrochloride,NCT00695136,Autism,National Institute of Mental Health (NIMH),NIH
Donepezil hydrochloride,NCT00695136,Cognition Disorder,National Institute of Mental Health (NIMH),NIH
Donepezil,NCT01887132,Autism Spectrum Disorders,National Institute of Mental Health (NIMH),NIH
Donepezil,NCT00887601,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil 5 - 10 mg,NCT00777608,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil 10 mg,NCT00777608,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT02064920,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT04730635,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT04730635,Mild Cognitive Impairment,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil 5mg,NCT00874939,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil 5mg,NCT00874939,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Placebo to Donepezil,NCT00874939,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
Placebo to Donepezil,NCT00874939,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
A: Placebo to match Donepezil and MK-3134 + Placebo to match Scopolamine,NCT01181310,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
B: Placebo to match Donepezil and MK-3134 + Scopolamine 0.5 mg,NCT01181310,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
D: Donepezil 10 mg + Scopolamine 0.5 mg,NCT01181310,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
E: Combo: Donepezil 10 mg + MK-3134 25 mg + Scopolamine 0.5 mg,NCT01181310,Dementia,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT04308304,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
Donepezil,NCT06285240,Alzheimer's Disease,Merck Sharp & Dohme LLC,INDUSTRY
donepezil hydrochloride,NCT00006349,Delirium,Alliance for Clinical Trials in Oncology,OTHER
donepezil hydrochloride,NCT00006349,Depression,Alliance for Clinical Trials in Oncology,OTHER
donepezil hydrochloride,NCT00006349,Lung Cancer,Alliance for Clinical Trials in Oncology,OTHER
donepezil hydrochloride,NCT00006349,Radiation Toxicity,Alliance for Clinical Trials in Oncology,OTHER
donepezil hydrochloride,NCT00006349,Cognitive/Functional Effects,Alliance for Clinical Trials in Oncology,OTHER
Donepezil,NCT05438264,Bilateral Sensorineural Hearing Loss,Vanderbilt University Medical Center,OTHER
Donepezil,NCT00708552,Alzheimer's Disease,GlaxoSmithKline,INDUSTRY
Donepezil,NCT00348309,Alzheimer's Disease,GlaxoSmithKline,INDUSTRY
donepezil,NCT00348192,Alzheimer's Disease,GlaxoSmithKline,INDUSTRY
Donepezil,NCT01485185,"Pain, Neuropathic",GlaxoSmithKline,INDUSTRY
donepezil 5-10mg,NCT00710684,Alzheimer's Disease,GlaxoSmithKline,INDUSTRY
Donepezil,NCT00934531,Falls,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,OTHER
Donepezil,NCT00934531,Balance,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,OTHER
Donepezil,NCT00934531,Mild Cognitive Impairment (MCI),London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,OTHER
Donepezil,NCT00934531,Gait,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,OTHER
Donepezil,NCT01521117,Parkinson's Disease,Oregon Health and Science University,OTHER
Donepezil,NCT02206620,Parkinson's Disease,Oregon Health and Science University,OTHER
Donepezil,NCT03599726,Parkinson Disease,Oregon Health and Science University,OTHER
Donepezil,NCT00912808,Parkinson's Disease,Oregon Health and Science University,OTHER
donepezil,NCT00043589,Memory Disorders,Stanford University,OTHER
Donepezil,NCT02988908,Memory,Stanford University,OTHER
donepezil,NCT01120626,Fragile X Syndrome,Stanford University,OTHER
donepezil,NCT00220584,Fragile X Syndrome,Stanford University,OTHER
Donepezil,NCT05592678,Dementia,The University of Texas Health Science Center at San Antonio,OTHER
Donepezil,NCT05592678,Cognitive Decline,The University of Texas Health Science Center at San Antonio,OTHER
Donepezil,NCT05592678,Alzheimer's Disease (AD),The University of Texas Health Science Center at San Antonio,OTHER
Donepezil,NCT05592678,Mild Cognitivie Impairment (MCI),The University of Texas Health Science Center at San Antonio,OTHER
Donepezil Hydrochloride,NCT03073876,Alzheimer Disease,NYU Langone Health,OTHER
Donepezil,NCT02222727,Aneurysmal Subarachnoid Hemorrhage,"St George's, University of London",OTHER
Donepezil,NCT02222727,Vasospasm,"St George's, University of London",OTHER
Donepezil,NCT02222727,Delayed Cerebral Ischemia,"St George's, University of London",OTHER
Donepezil,NCT02222727,Delayed Neurological Deficit,"St George's, University of London",OTHER
donepezil hydrochloride,NCT00070161,Radiation Toxicity,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT00070161,Brain and Central Nervous System Tumors,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT01466270,Breast Cancer,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT01466270,Depression,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT01466270,Cognition Disorders,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT01466270,Anxiety Disorder,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT01466270,Sleep Disorders,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT01466270,Fatigue,Wake Forest University Health Sciences,OTHER
Donepezil,NCT00452868,Radiation Toxicity,Wake Forest University Health Sciences,OTHER
Donepezil,NCT00452868,Brain and Central Nervous System Tumors,Wake Forest University Health Sciences,OTHER
Donepezil,NCT00452868,Psychosocial Effects of Cancer and Its Treatment,Wake Forest University Health Sciences,OTHER
Donepezil,NCT00452868,Neurotoxicity,Wake Forest University Health Sciences,OTHER
Donepezil,NCT00452868,Cognitive/Functional Effects,Wake Forest University Health Sciences,OTHER
Donepezil,NCT00452868,Long-term Effects Secondary to Cancer Therapy in Children,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT00369785,Metastatic Disease,Wake Forest University Health Sciences,OTHER
donepezil hydrochloride,NCT00369785,Brain Tumors,Wake Forest University Health Sciences,OTHER
Donepezil 5 mg,NCT02822573,Cognitive Dysfunction,Wake Forest University Health Sciences,OTHER
Donepezil 5 mg,NCT02822573,Memory Impairment,Wake Forest University Health Sciences,OTHER
Donepezil,NCT02337907,Alzheimer Disease,Boehringer Ingelheim,INDUSTRY
Donepezil,NCT03905096,Healthy,Boehringer Ingelheim,INDUSTRY
Donepezil,NCT02635750,Healthy,Boehringer Ingelheim,INDUSTRY
Donepezil drug treatment,NCT07060391,Alzheimer's Disease,Shanghai Jiao Tong University School of Medicine,OTHER
donepezil,NCT00948909,Alzheimer's Disease,"AbbVie (prior sponsor, Abbott)",INDUSTRY
donepezil,NCT01018875,Alzheimer's Disease,"AbbVie (prior sponsor, Abbott)",INDUSTRY
donepezil,NCT01137526,Alzheimer's Disease,"AbbVie (prior sponsor, Abbott)",INDUSTRY
donepezil,NCT01527916,Alzheimer's Disease,"AbbVie (prior sponsor, Abbott)",INDUSTRY
Donepezil Hydrochloride,NCT02162251,Alzheimer's Desease,"Eisai Co., Ltd.",INDUSTRY
donepezil HCl,NCT01063556,End-Stage Renal Disease,"Eisai Co., Ltd.",INDUSTRY
Donepezil hydrochloride,NCT02660983,Dementia Associated With Cerebrovascular Disease,"Eisai Co., Ltd.",INDUSTRY
Donepezil matching placebo,NCT02660983,Dementia Associated With Cerebrovascular Disease,"Eisai Co., Ltd.",INDUSTRY
donepezil hydrochloride,NCT01129596,Alzheimer's Disease,"Eisai Co., Ltd.",INDUSTRY
Donepezil Hydrochloride,NCT02448784,Dementia With Lewy Body Disease,"Eisai Co., Ltd.",INDUSTRY
E2020-Donepezil hydrochloride,NCT02094053,Down Syndrome,"Eisai Co., Ltd.",INDUSTRY
Donepezil 5 mg,NCT01278407,Dementia With Lewy Bodies (DLB),"Eisai Co., Ltd.",INDUSTRY
Donepezil 10 mg,NCT01278407,Dementia With Lewy Bodies (DLB),"Eisai Co., Ltd.",INDUSTRY
Donepezil matched placebo,NCT01278407,Dementia With Lewy Bodies (DLB),"Eisai Co., Ltd.",INDUSTRY
Donepezil Hydrochloride,NCT01506739,Healthy Adult,"Eisai Co., Ltd.",INDUSTRY
3 mg Donepezil hydrochloride,NCT00543855,Dementia With Lewy Bodies (DLB),"Eisai Co., Ltd.",INDUSTRY
5 mg Donepezil hydrochloride,NCT00543855,Dementia With Lewy Bodies (DLB),"Eisai Co., Ltd.",INDUSTRY
