drug,trial,condition,sponsor,sponsor_class
Donepezil (Aricept),NCT06903910,Parkinson Disease,University of Virginia,OTHER
Donepezil Hydrochloride,NCT05709301,Parkinson Disease,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,OTHER
Donepezil Hydrochloride,NCT05709301,Mild Cognitive Impairment,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,OTHER
Donepezil,NCT01194336,"Biomarkers, Pharmacological",U.S. Army Medical Research and Development Command,FED
donepezil,NCT00408525,Alzheimer's Disease,Vanderbilt University,OTHER
Donepezil,NCT03316898,Alzheimer's Disease,Allergan,INDUSTRY
Donepezil and Lithium,NCT01191918,Bipolar Disorder,Shanghai Mental Health Center,OTHER
Donepezil and Lithium,NCT01191918,Mania,Shanghai Mental Health Center,OTHER
Donepezil for patients with AD and DLB,NCT05518409,Alzheimer Disease,First Affiliated Hospital of Zhejiang University,OTHER
Donepezil for patients with AD and DLB,NCT05518409,Neurodegenerative Diseases,First Affiliated Hospital of Zhejiang University,OTHER
Donepezil for patients with AD and DLB,NCT05518409,Lewy Body Disease,First Affiliated Hospital of Zhejiang University,OTHER
Melatonin and Donepezil,NCT02487082,Autism Spectrum Disorder,Stony Brook University,OTHER
Donepezil + Cognitive remediation therapy (CRT),NCT05042102,Alcohol Use Disorder,VA Connecticut Healthcare System,FED
Donepezil + Placebo CRT,NCT05042102,Alcohol Use Disorder,VA Connecticut Healthcare System,FED
Donepezil,NCT00566501,Alzheimer's Disease,Eisai Inc.,INDUSTRY
Aricept (donepezil hydrochloride),NCT00754052,Cognitive Dysfunction,Eisai Inc.,INDUSTRY
Aricept (donepezil hydrochloride),NCT00754052,Down Syndrome,Eisai Inc.,INDUSTRY
Donepezil hydrochloride,NCT00096473,Dementia,Eisai Inc.,INDUSTRY
Donepezil hydrochloride,NCT00096473,Alzheimer's Disease,Eisai Inc.,INDUSTRY
Aricept (donepezil hydrochloride),NCT00934375,Mild Cognitive Impairment,Eisai Inc.,INDUSTRY
