sponsor,sponsor_class,trials
"Becton, Dickinson and Company",INDUSTRY,20
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),OTHER,20
Chang Gung Memorial Hospital,OTHER,20
Laval University,OTHER,20
"Gan and Lee Pharmaceuticals, USA",INDUSTRY,20
University of Oxford,OTHER,20
University of Arkansas,OTHER,20
University of Miami,OTHER,20
LMC Diabetes & Endocrinology Ltd.,OTHER,20
Riphah International University,OTHER,20
Singapore General Hospital,OTHER,20
Royal Devon and Exeter NHS Foundation Trust,OTHER,19
"University Hospital, Lille",OTHER,19
AdventHealth Translational Research Institute,OTHER,19
The Cleveland Clinic,OTHER,19
University of New Mexico,OTHER,19
Daewoong Pharmaceutical Co. LTD.,INDUSTRY,19
Tehran University of Medical Sciences,OTHER,19
"Dong-A ST Co., Ltd.",INDUSTRY,19
Aarhus University Hospital,OTHER,18
Medical University of South Carolina,OTHER,18
Aristotle University Of Thessaloniki,OTHER,18
"Boryung Pharmaceutical Co., Ltd",INDUSTRY,18
University at Buffalo,OTHER,18
University of Kansas Medical Center,OTHER,18
University of Arizona,OTHER,18
King's College London,OTHER,18
University of Sao Paulo General Hospital,OTHER,18
Oslo University Hospital,OTHER,18
Insulet Corporation,INDUSTRY,18
Boston Children's Hospital,OTHER,18
Theracos,INDUSTRY,17
Bispebjerg Hospital,OTHER,17
Centre Hospitalier Sud Francilien,OTHER,17
"University Hospital, Toulouse",OTHER,17
Scripps Whittier Diabetes Institute,OTHER,17
"Post Graduate Institute of Medical Education and Research, Chandigarh",OTHER,17
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,OTHER,17
Sohag University,OTHER,17
Beth Israel Deaconess Medical Center,OTHER,17
National University of Singapore,OTHER,17
Indonesia University,OTHER,17
Samsung Medical Center,OTHER,16
"Rutgers, The State University of New Jersey",OTHER,16
"University of Massachusetts, Worcester",OTHER,16
Handok Inc.,INDUSTRY,16
Göteborg University,OTHER,16
Medical University of Warsaw,OTHER,16
"Diabetes Foundation, India",OTHER,16
National Center for Research Resources (NCRR),NIH,16
Assaf-Harofeh Medical Center,OTHER_GOV,16
"Tandem Diabetes Care, Inc.",INDUSTRY,16
University of Nottingham,OTHER,15
"Shandong Suncadia Medicine Co., Ltd.",INDUSTRY,15
Amgen,INDUSTRY,15
London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,OTHER,15
Temple University,OTHER,15
Société des Produits Nestlé (SPN),INDUSTRY,15
Hanmi Pharmaceutical Company Limited,INDUSTRY,15
University of Southern Denmark,OTHER,15
George Washington University,OTHER,15
Physicians Committee for Responsible Medicine,OTHER,15
LifeScan,INDUSTRY,15
Boston Medical Center,OTHER,15
"University of California, Irvine",OTHER,15
Universiti Putra Malaysia,OTHER,15
Fundacio d'Investigacio en Atencio Primaria Jordi Gol i Gurina,OTHER,15
Biodel,INDUSTRY,15
University of Guadalajara,OTHER,15
Hacettepe University,OTHER,14
"VeraLight, Inc.",INDUSTRY,14
Thomas Jefferson University,OTHER,14
Aalborg University Hospital,OTHER,14
City of Hope Medical Center,OTHER,14
Johns Hopkins Bloomberg School of Public Health,OTHER,14
Helsinki University Central Hospital,OTHER,14
Purdue University,OTHER,14
RSP Systems A/S,INDUSTRY,14
"University of Campinas, Brazil",OTHER,14
Korea University Anam Hospital,OTHER,14
Children's Mercy Hospital Kansas City,OTHER,14
The Hospital for Sick Children,OTHER,14
University Medical Centre Ljubljana,OTHER,13
Yaounde Central Hospital,OTHER_GOV,13
"The University of Texas Medical Branch, Galveston",OTHER,13
Karolinska University Hospital,OTHER,13
Nantes University Hospital,OTHER,13
Liverpool John Moores University,OTHER,13
"University of Ljubljana, Faculty of Medicine",OTHER,13
National Nutrition and Food Technology Institute,OTHER,13
"Fujian Shengdi Pharmaceutical Co., Ltd.",INDUSTRY,13
"Mount Sinai Hospital, Canada",OTHER,13
"Ionis Pharmaceuticals, Inc.",INDUSTRY,13
Peking University Third Hospital,OTHER,13
"Institut National de la Santé Et de la Recherche Médicale, France",OTHER_GOV,13
Huazhong University of Science and Technology,OTHER,13
Uppsala University,OTHER,13
The Catholic University of Korea,OTHER,13
University of Texas at Austin,OTHER,13
