start_date,phase,status,trials
2022-05-03,PHASE1,RECRUITING,1
2019-12-09,,TERMINATED,7
2016-03-22,PHASE1;PHASE2,ACTIVE_NOT_RECRUITING,1
2023-09-29,,COMPLETED,7
2022-11-15,,COMPLETED,72
2022-10-11,,COMPLETED,25
2019-08-06,,COMPLETED,26
2019-01-14,PHASE1,TERMINATED,3
2022-10-01,,RECRUITING,141
2018-05-29,,COMPLETED,26
2025-06-26,PHASE4,RECRUITING,5
2022-12-07,,RECRUITING,17
2025-04-06,,RECRUITING,6
2017-11-06,PHASE1;PHASE2,COMPLETED,1
2022-08-18,PHASE2,COMPLETED,2
2022-03-29,PHASE1;PHASE2,TERMINATED,1
2024-01-04,PHASE2,RECRUITING,3
2021-01-12,,COMPLETED,38
2015-08-24,PHASE2,TERMINATED,1
2015-02-01,,COMPLETED,58
1999-06-25,PHASE2,COMPLETED,2
2023-04-26,PHASE1,COMPLETED,6
2021-12-20,,UNKNOWN,18
2022-04-01,,COMPLETED,297
2020-08-10,,COMPLETED,26
2020-05-11,,COMPLETED,34
2022-10-04,PHASE1,COMPLETED,3
2021-07-08,,ACTIVE_NOT_RECRUITING,3
2019-03-14,,TERMINATED,5
2012-12-01,,COMPLETED,25
2024-12-20,PHASE3,RECRUITING,9
2022-08-31,PHASE1,COMPLETED,6
2025-07-31,PHASE2,RECRUITING,8
2020-04-15,,UNKNOWN,34
2013-05-20,PHASE2,COMPLETED,4
2017-10-11,PHASE1,COMPLETED,8
2021-03-30,,RECRUITING,11
2020-08-01,,ACTIVE_NOT_RECRUITING,13
2022-08-20,,UNKNOWN,19
2021-05-06,PHASE1,COMPLETED,6
2008-12-12,,COMPLETED,2
2024-10-01,PHASE1,RECRUITING,6
2023-11-01,PHASE3,TERMINATED,3
2023-07-10,PHASE2,ACTIVE_NOT_RECRUITING,3
2024-02-23,PHASE1;PHASE2,RECRUITING,2
2021-06-01,PHASE1,COMPLETED,12
2024-01-15,,RECRUITING,102
2021-03-11,,COMPLETED,29
2020-03-01,,COMPLETED,297
2021-03-01,PHASE1;PHASE2,UNKNOWN,4
2021-03-15,PHASE4,COMPLETED,8
2017-07-28,,UNKNOWN,5
2024-08-14,,COMPLETED,5
2024-09-04,PHASE2,RECRUITING,4
2021-08-10,,COMPLETED,31
2024-10-04,,RECRUITING,33
2016-01-13,,COMPLETED,18
2018-02-02,,COMPLETED,39
2018-05-01,EARLY_PHASE1,UNKNOWN,6
2017-04-03,,COMPLETED,53
2023-09-25,,ACTIVE_NOT_RECRUITING,9
2022-12-29,,ACTIVE_NOT_RECRUITING,1
2022-01-25,,COMPLETED,28
2016-02-02,,COMPLETED,23
2010-03-01,PHASE1,COMPLETED,2
2019-08-13,,COMPLETED,18
2024-02-10,,RECRUITING,17
2019-06-19,PHASE3,COMPLETED,6
2019-01-02,,COMPLETED,75
2019-11-13,,COMPLETED,29
2022-10-19,PHASE4,COMPLETED,2
2023-02-01,,RECRUITING,163
2022-06-06,,RECRUITING,19
2020-11-19,PHASE1;PHASE2,UNKNOWN,2
2024-02-28,,RECRUITING,41
2020-03-26,PHASE3,ACTIVE_NOT_RECRUITING,1
2019-01-01,,COMPLETED,633
2020-04-16,,UNKNOWN,13
2022-04-12,,RECRUITING,13
2019-05-20,,COMPLETED,62
2007-10-23,,COMPLETED,2
2022-11-07,,UNKNOWN,8
2021-05-01,,TERMINATED,10
2023-06-01,,RECRUITING,217
2025-07-02,,RECRUITING,28
2022-01-01,,COMPLETED,457
2021-02-01,,COMPLETED,313
2023-05-26,PHASE1,RECRUITING,2
2023-10-10,,COMPLETED,33
2017-03-03,PHASE2,COMPLETED,5
2022-06-01,,UNKNOWN,189
2017-05-08,EARLY_PHASE1,UNKNOWN,1
2012-02-27,PHASE1,TERMINATED,1
2022-03-07,,RECRUITING,17
2016-12-21,PHASE1,COMPLETED,3
2019-01-01,PHASE2,COMPLETED,16
2025-02-16,,RECRUITING,2
2017-11-06,,TERMINATED,6
2023-08-12,,UNKNOWN,3
2025-10-01,,NOT_YET_RECRUITING,360
2023-02-02,,COMPLETED,32
2017-01-09,,COMPLETED,32
2022-10-16,,RECRUITING,4
2015-07-16,PHASE3,COMPLETED,2
2020-11-07,,COMPLETED,7
2021-10-01,,UNKNOWN,192
2022-02-28,,RECRUITING,24
2017-10-02,,UNKNOWN,8
2022-03-01,,COMPLETED,308
2015-11-01,,COMPLETED,67
2021-02-15,,COMPLETED,89
2023-08-09,,COMPLETED,10
2016-01-01,,COMPLETED,392
2018-04-11,,COMPLETED,35
2025-04-01,,NOT_YET_RECRUITING,253
2021-10-04,,COMPLETED,52
2015-10-12,,COMPLETED,11
2020-11-19,PHASE2,TERMINATED,1
2025-01-27,PHASE1,RECRUITING,4
2015-05-18,PHASE4,COMPLETED,2
2021-01-18,,COMPLETED,44
2023-05-17,,ACTIVE_NOT_RECRUITING,6
2000-03-29,EARLY_PHASE1,COMPLETED,1
2021-12-28,,COMPLETED,13
2022-08-26,,WITHDRAWN,1
2022-04-10,,UNKNOWN,13
2019-01-15,,UNKNOWN,37
2017-06-19,,UNKNOWN,16
2011-09-26,,COMPLETED,3
2023-09-01,,RECRUITING,285
2023-12-01,,COMPLETED,218
2025-01-01,PHASE2,NOT_YET_RECRUITING,23
2017-03-15,,UNKNOWN,25
2025-05-07,,RECRUITING,21
2022-11-18,,RECRUITING,20
2020-01-01,,COMPLETED,490
2013-05-07,PHASE1,COMPLETED,3
2025-03-25,,ACTIVE_NOT_RECRUITING,5
2023-10-05,,NOT_YET_RECRUITING,3
2023-10-05,,RECRUITING,27
2014-04-02,PHASE2,COMPLETED,1
2021-11-05,,COMPLETED,28
2025-07-21,PHASE1,RECRUITING,2
2024-07-23,PHASE2,RECRUITING,7
2024-05-01,,NOT_YET_RECRUITING,155
2009-03-09,PHASE1,COMPLETED,2
2018-06-15,PHASE1,UNKNOWN,1
2021-12-09,,COMPLETED,33
2017-01-01,PHASE4,UNKNOWN,14
2022-07-20,,ACTIVE_NOT_RECRUITING,6
2023-01-01,PHASE2,ENROLLING_BY_INVITATION,1
2021-05-21,,ACTIVE_NOT_RECRUITING,8
2016-08-22,PHASE4,COMPLETED,2
2024-04-22,,COMPLETED,22
2023-06-01,EARLY_PHASE1,RECRUITING,4
2014-09-09,,RECRUITING,1
2023-07-07,PHASE2,RECRUITING,4
2013-09-01,,ACTIVE_NOT_RECRUITING,2
2024-12-31,,NOT_YET_RECRUITING,16
2012-07-15,,ENROLLING_BY_INVITATION,1
2021-05-04,,UNKNOWN,14
2019-11-04,,COMPLETED,56
2019-02-14,,ACTIVE_NOT_RECRUITING,2
2017-11-22,,COMPLETED,31
2025-07-23,,RECRUITING,20
2018-10-17,,TERMINATED,2
2022-12-14,,TERMINATED,2
2020-01-16,,TERMINATED,4
2025-03-17,,RECRUITING,47
2020-09-15,,WITHDRAWN,5
2019-09-26,PHASE2,COMPLETED,5
2016-01-30,,RECRUITING,2
2024-02-14,,RECRUITING,40
2023-09-10,,RECRUITING,17
2019-05-09,,WITHDRAWN,1
2018-06-05,PHASE2,UNKNOWN,2
2024-03-29,PHASE3,NOT_YET_RECRUITING,1
2019-12-10,,RECRUITING,10
2023-01-09,,RECRUITING,39
2016-01-12,,COMPLETED,14
2019-09-22,,COMPLETED,6
2018-05-02,,COMPLETED,51
2023-03-24,,UNKNOWN,4
2025-03-19,PHASE2;PHASE3,RECRUITING,1
2021-09-30,,COMPLETED,43
2010-11-01,,COMPLETED,13
2022-01-24,,COMPLETED,37
2025-12-31,,RECRUITING,1
2025-08-01,,NOT_YET_RECRUITING,382
2022-04-18,PHASE1,COMPLETED,3
2019-10-10,,ACTIVE_NOT_RECRUITING,2
2018-03-01,PHASE1;PHASE2,UNKNOWN,4
2020-04-20,,UNKNOWN,22
2024-08-05,,ACTIVE_NOT_RECRUITING,7
2021-12-06,PHASE1,RECRUITING,2
2019-09-20,,UNKNOWN,20
2014-08-01,PHASE2,COMPLETED,5
2025-06-17,,RECRUITING,23
2021-11-17,PHASE2,COMPLETED,4
2022-02-23,,ACTIVE_NOT_RECRUITING,4
2024-12-01,,ACTIVE_NOT_RECRUITING,40
2020-12-09,EARLY_PHASE1,UNKNOWN,1
2023-06-05,,RECRUITING,33
2021-11-01,,UNKNOWN,180
2025-01-17,PHASE1;PHASE2,RECRUITING,5
2022-08-07,,UNKNOWN,3
2018-05-23,,COMPLETED,31
2024-01-22,,RECRUITING,46
2022-03-31,,COMPLETED,35
2016-05-18,PHASE2,COMPLETED,4
2019-06-13,PHASE3,COMPLETED,8
2024-11-25,PHASE1,RECRUITING,8
2023-11-01,,COMPLETED,172
2016-01-13,PHASE2,COMPLETED,1
2024-10-15,PHASE4,NOT_YET_RECRUITING,5
2010-02-18,PHASE2,COMPLETED,1
2023-06-08,PHASE3,RECRUITING,4
2023-08-29,,COMPLETED,14
2018-09-05,PHASE4,COMPLETED,5
2018-11-26,PHASE1,COMPLETED,6
2020-03-02,,WITHDRAWN,42
2025-10-01,PHASE4,NOT_YET_RECRUITING,29
2020-09-01,,COMPLETED,347
2018-10-01,PHASE2,COMPLETED,22
2024-04-26,,RECRUITING,19
2022-01-01,,RECRUITING,191
2023-02-27,,COMPLETED,31
2024-12-17,,RECRUITING,31
2019-05-01,,COMPLETED,253
2017-12-06,,COMPLETED,24
2014-02-14,PHASE3,TERMINATED,1
2024-01-16,,RECRUITING,30
2025-01-20,,COMPLETED,13
2021-05-01,,RECRUITING,64
2021-11-01,PHASE2,UNKNOWN,13
2024-09-01,,ENROLLING_BY_INVITATION,42
2025-06-01,,NOT_YET_RECRUITING,342
2019-01-22,,COMPLETED,26
2022-03-26,,COMPLETED,4
2019-04-10,,COMPLETED,40
2023-12-15,,RECRUITING,66
2022-08-02,PHASE1,RECRUITING,2
2018-10-31,,WITHDRAWN,1
2021-04-06,,COMPLETED,36
2018-04-24,,COMPLETED,25
2018-04-26,,COMPLETED,28
2025-05-15,,NOT_YET_RECRUITING,64
2021-07-12,PHASE3,TERMINATED,1
2021-01-15,,UNKNOWN,43
2021-03-15,,UNKNOWN,49
2021-05-06,PHASE1;PHASE2,ACTIVE_NOT_RECRUITING,1
2024-08-21,PHASE1,RECRUITING,1
2024-07-06,EARLY_PHASE1,WITHDRAWN,1
2019-10-01,,TERMINATED,22
2013-10-24,,COMPLETED,4
2024-05-28,,RECRUITING,30
2017-03-31,,COMPLETED,30
2024-05-01,,RECRUITING,236
2024-04-01,,RECRUITING,265
2006-04-01,PHASE2,TERMINATED,1
2019-09-27,,ACTIVE_NOT_RECRUITING,3
2012-12-03,PHASE2,COMPLETED,3
2019-01-01,PHASE2,UNKNOWN,19
2021-11-10,,UNKNOWN,14
2021-08-18,,TERMINATED,4
2023-06-05,PHASE2,NOT_YET_RECRUITING,2
2020-06-05,PHASE1,COMPLETED,3
2017-01-20,,UNKNOWN,7
2015-01-26,,COMPLETED,6
2001-09-25,,ACTIVE_NOT_RECRUITING,1
2025-01-31,,NOT_YET_RECRUITING,13
2023-08-18,PHASE2,NOT_YET_RECRUITING,1
2019-02-03,PHASE3,COMPLETED,1
2019-01-01,,UNKNOWN,308
2024-09-23,,COMPLETED,16
2024-11-20,,RECRUITING,46
2024-07-10,PHASE2;PHASE3,RECRUITING,3
2023-11-02,,RECRUITING,35
2018-05-20,,COMPLETED,20
2020-09-28,,UNKNOWN,11
2022-02-03,,COMPLETED,29
2024-01-21,,RECRUITING,8
2006-05-30,PHASE2,COMPLETED,2
2021-01-05,,COMPLETED,52
2025-07-18,,RECRUITING,12
2016-06-27,,COMPLETED,10
2015-09-01,,COMPLETED,101
2024-05-20,,RECRUITING,56
2019-07-15,,RECRUITING,6
2017-02-25,PHASE3,UNKNOWN,1
2021-03-17,,COMPLETED,35
2017-07-04,PHASE2,ACTIVE_NOT_RECRUITING,2
2022-06-01,PHASE4,UNKNOWN,10
2020-03-01,,UNKNOWN,169
2020-04-06,PHASE4,RECRUITING,1
2020-06-01,PHASE3,RECRUITING,3
2024-05-01,PHASE2,NOT_YET_RECRUITING,9
2020-05-15,,COMPLETED,60
2018-02-01,,COMPLETED,268
2020-12-15,,UNKNOWN,45
2024-07-03,PHASE1,COMPLETED,3
2021-03-01,,COMPLETED,447
2022-10-06,PHASE1,COMPLETED,6
2021-03-30,,COMPLETED,33
2002-04-15,,TERMINATED,1
2025-05-19,,ENROLLING_BY_INVITATION,4
2021-01-01,,RECRUITING,120
2010-05-13,,COMPLETED,2
2020-11-24,PHASE1,COMPLETED,9
2022-11-28,,RECRUITING,14
2024-03-14,,RECRUITING,34
2018-01-01,,COMPLETED,637
2016-05-02,PHASE2;PHASE3,COMPLETED,1
2022-10-09,PHASE3,NOT_YET_RECRUITING,1
2016-02-09,PHASE4,COMPLETED,2
2018-04-20,,COMPLETED,37
2019-03-20,,COMPLETED,51
2020-04-29,PHASE3,ACTIVE_NOT_RECRUITING,1
2021-07-01,,COMPLETED,255
2024-07-01,,COMPLETED,129
2025-03-10,,RECRUITING,73
2018-06-26,,COMPLETED,27
2016-09-01,,COMPLETED,190
2019-02-27,,COMPLETED,33
2020-10-28,,RECRUITING,6
2024-06-19,,ENROLLING_BY_INVITATION,2
2023-01-02,,COMPLETED,51
2021-04-15,,RECRUITING,14
2024-11-13,PHASE2,RECRUITING,7
2022-01-03,,UNKNOWN,16
2023-04-12,,WITHDRAWN,1
2023-02-21,,UNKNOWN,7
2022-01-04,PHASE2,COMPLETED,3
2019-02-01,,COMPLETED,293
2018-12-12,,COMPLETED,42
2023-09-13,,ACTIVE_NOT_RECRUITING,9
